Song ID,pop,rap,dance-pop,post-teen-pop,pop-rap,trap,reggaeton,trap-latino,latin,hip-hop,melodic-rap,canadian-pop,electropop,pop-dance,atl-hip-hop
1Xi84slp6FryDSCbzq4UCD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5jzEwSyyymBlf1fa1o39T2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
35mvY5S1H3J2QZyna3TFe0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
21jGcNKet2qwijlDFuPiPb,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
08EPQiLMyGB8GJX2EiVoCM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4DHDIdeayp8xvlyg22wREO,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
5lGtPshEJlsJgmqKLi41LY,,,,,,,,,,,,,,,
6Uj1ctrBOjOas8xZXGqKk4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1QL7nSDZCwZMnbisV4KOXt,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0
2oUwMN5VfdGX10XeQJLBBi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2gMXnyrvIjhVBUZwvLZDMP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
463CkQjx2Zk1yXoBuierM9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5ajjAnNRh8bxFvaVHzpPjh,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0
7COGuXyTr12KvdaYXMqheC,,,,,,,,,,,,,,,
0pqnGHJpmpxLKifKRmU6WP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02kDW379Yfd5PzW5A6vuGt,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
161DnLWsx1i3u1JT05lzqU,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0zLCBJZSiELJf02ucPP9wb,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0
5u7twkeask1VIyDeNTElSU,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
